filename	hdu	keyword	value
Blind15A_26/c4d_150308_053309_ori.fits.fz	0	EXPNUM	419383
Blind15A_26/c4d_150308_053309_ori.fits.fz	0	FILTER	r DECam SDSS c0002 6415.0 1480.0
Blind15A_26/c4d_150308_065227_ori.fits.fz	0	EXPNUM	419418
Blind15A_26/c4d_150308_065227_ori.fits.fz	0	FILTER	i DECam SDSS c0003 7835.0 1470.0
Blind15A_26/c4d_150309_053319_ori.fits.fz	0	EXPNUM	419791
Blind15A_26/c4d_150309_053319_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_26/c4d_150314_005227_ori.fits.fz	0	EXPNUM	421500
Blind15A_26/c4d_150314_005227_ori.fits.fz	0	FILTER	i DECam SDSS c0003 7835.0 1470.0
Blind15A_26/c4d_150314_025138_ori.fits.fz	0	EXPNUM	421552
Blind15A_26/c4d_150314_025138_ori.fits.fz	0	FILTER	r DECam SDSS c0002 6415.0 1480.0
Blind15A_26/c4d_150314_040712_ori.fits.fz	0	EXPNUM	421590
Blind15A_26/c4d_150314_040712_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150217_021441_ori.fits.fz	0	EXPNUM	410879
Blind15A_40/c4d_150217_021441_ori.fits.fz	0	FILTER	r DECam SDSS c0002 6415.0 1480.0
Blind15A_40/c4d_150217_035146_ori.fits.fz	0	EXPNUM	410929
Blind15A_40/c4d_150217_035146_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150217_055528_ori.fits.fz	0	EXPNUM	410985
Blind15A_40/c4d_150217_055528_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150217_073445_ori.fits.fz	0	EXPNUM	411035
Blind15A_40/c4d_150217_073445_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150217_084214_ori.fits.fz	0	EXPNUM	411069
Blind15A_40/c4d_150217_084214_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150218_020938_ori.fits.fz	0	EXPNUM	411269
Blind15A_40/c4d_150218_020938_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150218_034648_ori.fits.fz	0	EXPNUM	411319
Blind15A_40/c4d_150218_034648_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150218_052457_ori.fits.fz	0	EXPNUM	411369
Blind15A_40/c4d_150218_052457_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150218_070619_ori.fits.fz	0	EXPNUM	411420
Blind15A_40/c4d_150218_070619_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150218_084520_ori.fits.fz	0	EXPNUM	411470
Blind15A_40/c4d_150218_084520_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150219_020455_ori.fits.fz	0	EXPNUM	411671
Blind15A_40/c4d_150219_020455_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150219_034157_ori.fits.fz	0	EXPNUM	411721
Blind15A_40/c4d_150219_034157_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150219_034349_ori.fits.fz	0	EXPNUM	411722
Blind15A_40/c4d_150219_034349_ori.fits.fz	0	FILTER	r DECam SDSS c0002 6415.0 1480.0
Blind15A_40/c4d_150219_052223_ori.fits.fz	0	EXPNUM	411772
Blind15A_40/c4d_150219_052223_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150219_070142_ori.fits.fz	0	EXPNUM	411822
Blind15A_40/c4d_150219_070142_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
Blind15A_40/c4d_150219_084107_ori.fits.fz	0	EXPNUM	411872
Blind15A_40/c4d_150219_084107_ori.fits.fz	0	FILTER	g DECam SDSS c0001 4720.0 1520.0
