filename	hdu	keyword	value
c4d_150216_201658_fri.fits.fz	0	OBJECT	DomeFlat-i30
c4d_150216_201752_fri.fits.fz	0	OBJECT	DomeFlat-i30
c4d_150216_201831_fci_VR_v1.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_201831_fcw_VR_v1.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_201831_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_201911_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_201950_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202029_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202107_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202150_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202226_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202304_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202344_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202424_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202504_fri.fits.fz	0	OBJECT	DomeFlat-VR15
c4d_150216_202542_fci_r_v1.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202542_fcw_r_v1.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202542_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202621_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202700_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202739_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202818_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202858_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_202940_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_203016_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_203053_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_203133_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_203213_fri.fits.fz	0	OBJECT	DomeFlat-r15
c4d_150216_203319_fci_g_v1.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203319_fcw_g_v1.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203319_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203421_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203524_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203629_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203733_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203837_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_203939_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_204046_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_204153_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_204254_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_204358_fri.fits.fz	0	OBJECT	DomeFlat-g40
c4d_150216_204501_fci_u_v1.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_204501_fcw_u_v1.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_204501_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_204606_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_204711_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_204814_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_204931_fri.fits.fz	0	OBJECT	DomeFlat-u40
c4d_150216_205023_fri.fits.fz	0	OBJECT	DomeFlat-u40
